1395_114 ,A15YKQU4TT7169 ,The city&#39;s population in 2001 was 3.6 million and it has reached over 4.0 million[23] by 2009 making it among the most populated cities in India&#44; while the population of the metropolitan area was estimated above 6.3 million.[25] Hyderabad is a cosmopolitan city&#44; whose residents are adherents to a wide range of religions&#44; predominately Islam (41%) and Hinduism (55%)&#44; but also others&#44; including Christianity (3%)&#44; and Sikhism (0.2%) and Jains (0.4%). There are many iconic temples&#44; mosques&#44; and churches situated in the city. Hyderabad&#39;s Muslim community is the largest in Andhra Pradesh. (see also: Hyderabadi Muslims).[26] Muslims have substantial presence across the city and are predominant in and around Old City. Churches are located across the city and the popular ones are in Abids and Secunderabad areas.Hyderabad is connected to the rest of the country by National HighwaysNH-7&#44; NH-9 and NH-202. Hyderabad is also well connected to the remaining parts of the state. Like other cities&#44; Hyderabad suffers from traffic congestion. Completion of the Inner Ring Road and construction of the Outer Ring Road encircling Hyderabad city is also underway and is touted to make travel in the city easier. Many flyovers and underpasses are also being constructed to ease traffic congestion in the city.The Andhra Pradesh State Road Transport Corporation[43] runs a fleet of 19&#44;000 buses&#44; the largest in the world.[41] Hyderabad has the third largest bus station facility in Asia&#44; with 72 platforms for 89 buses to load passengers at a time. Officially named as the Mahatma Gandhi Bus Station&#44; it is locally known as the Imlibun Bus Station&#44; Jubilee Bus Station at Secunderabad runs buses to various parts of the state and to some parts of South India.  The yellow colored Auto Rickshaw usually referred to as an auto&#44; is the most widely used transport service and has flag down minimum fare of Rs 12 for first 1.5 km and then Rs 7 per km. Radio Taxis and cabs by private players have provided an easy travel in the city.,2091
84960_178 ,A15YKQU4TT7169 ,his temple was constructed by King Harihara Bukka Rayalu of the Sangama Dynasty of the Vijayanagara Empire in the 15th century. It was built according to Vaishnavaite traditions.  One story of the site&#39;s origin is as follows: The sage Agastya wanted to build a temple for Lord Venkateswara on this site. However&#44; the statue that was made could not be installed as the toenail of the deity got broken. The sage was upset over this and performed a penance for Lord Shiva. When Lord Shiva appeared&#44; he said the place suits Shiva better as it resembles Kailash. Agastya then requested Lord Shiva to give the devotees a Parvathi Goddess as Lord Uma Maheswara in a single stone&#44; which Lord Shiva obliged.  A second story is as follows: Chitteppa&#44; a devotee of Lord Shiva&#44; was worshiping Lord Shiva and Lord Shiva appeared to him as a tiger. Chitteppa understood that it was Lord Shiva in tiger form&#44; and shouted Neganti Shivanu ne khanti (meaning: I saw Shiva I saw)&#44; and danced with joy. There is a cave called Chitteppa nearby.    The story according to the priests is that when the sage Agastya compleated his uttara desha yatra and started dakshina desha yatra he found the beautiful and pleasent place called yaganti( Nekanti-i have seen)and thought to build a temple for Lord Venkateswara on this site . while roaming around caves one of the caves was found to have a very old statue of Lord Vishnu . After all the yagna&#44; homa and poojas he found that the statue really contains a small defect as broken nail on the foot thumb finger. To seek an explanation he prayed to Shiva and Shiva explained that at this place which contains natural springs and nature only I can be worshipped. Then the sage Agastya asked a boom to Shiva to reside in this place for eternity with Mother Parvathi. So this place is called as Umamahesware (ume: parvathi&#44; maheswara: shiva) temple. The shrine contains the statue of Shiva and Parvathi on a single stone.,1980
45708_65 ,A370556EFVZ9W4 ,We cannot undestand classical music unless and until we hear it and try to understand the quality and beauty of its components. The same is the case of a sex position when a man is on top. This is that time when one needs to make the classic position more elegant and find out why it is a classic position. Another thing that needs to be understood is that when the man is on top&#44; it does not have to mean that the woman is going to experience idle and powerful sexual gerations. Nor these positions can be called the boring positions of the past just the way some people think about the positions that involve men on top. By making some small changes these positions can be made elegant. In all this positions effort needs to be made by the man. Before any inital position it is better to talk to your partner. If there is any kind of communication gap&#44; then no position would be comfortable for both the partners. This means that every woman wants that her mate has such size and shape that can push her to the limits of sexual excitement and for this there is a need for a great position that has been discussed and decided according to her needs and which pushes her to the limit of sexual climax. If they are successful in doing this just once&#44; they can repeat whenever they want to reach the limits of sexual excitement. One thing that needs to be told is that most men choose men on top position so that they can reach an orgasm. This is why the men on top position is a powerful position. But is in this position is the man is fast and powerful from the begining then it may lead to loss of feeling and stamina at the end. This position is very good for those who are relatively new to sex&#44; but when excitement is taken into consideration this position is good for everyone. This is why it is necessary that the women tell their partner to stay in control and try to experiment and determine which position is good for satisfcation of both their needs.,1976
1149_208 ,A15YKQU4TT7169 ,The process of attaching a magnetic stripe to a plastic card was invented by IBM under a contract with the US government for a security system. Forrest Parry&#44; an IBM Engineer&#44; had the idea of securing a piece of magnetic tape&#44; the predominant storage medium at the time&#44; to a plastic card base. He became frustrated because every adhesive he tried produced unacceptable results. The tape strip either warped or its characteristics were affected by the adhesive&#44; rendering the tape strip unusable. After a frustrating day in the laboratory&#44; trying to get the right adhesive&#44; he came home with several pieces of magnetic tape and several plastic cards. As he walked in the door at home&#44; his wife was ironing and watching TV. She immediately saw the frustration on his face and asked what was wrong. He explained the source of his frustration: inability to get the tape to &quot;stick&quot; to the plastic in a way that would work. She said&#44; &quot;Here&#44; let me try the iron.&quot; She did and the problem was solved. The heat of the iron was just high enough to bond the tape to the card.There were a number of steps required to convert the magnetic striped media into an industry acceptable device. These steps included: 1) Creating the international standards for stripe record content&#44; including which information&#44; in what format&#44; and using which defining codes. 2) Field testing the proposed device and standards for market acceptance. 3) Developing the manufacturing steps needed to mass produce the large number of cards required. 4) Adding stripe issue and acceptance capabilities to available equipment. These steps were initially managed by Jerome Svigals of the Advanced Systems Division of IBM&#44; Los Gatos&#44; California from 1966 to 1975.,1803
72463_100 ,A15YKQU4TT7169 ,In a 2003 study of Wikipedia as a community&#44; economics Ph.D. student Andrea Ciffolilli argued that the low transaction costs of participating in wiki software create a catalyst for collaborative development&#44; and that a &quot;creative construction&quot; approach encourages participation.[130] In his 2008 book&#44; The Future of the Internet and How to Stop It&#44; Jonathan Zittrain of the Oxford Internet Institute and Harvard Law Schools Berkman Center for Internet &amp; Society cites Wikipedia&#39;s success as a case study in how open collaboration has fostered innovation on the web.[131] A 2008 study found that Wikipedia users were less agreeable and open&#44; though more conscientious&#44; than non-Wikipedia users.[132][133] A 2009 study suggested there was &quot;evidence of growing resistance from the Wikipedia community to new content.&quot;[134]  At OOPSLA 2009&#44; Wikimedia CTO and Senior Software Architect Brion Vibber gave a presentation entitled &quot;Community Performance Optimization: Making Your People Run as Smoothly as Your Site&quot;[135] in which he discussed the challenges of handling the contributions from a large community and compared the process to that of software development.        Wikipedians and British Museum curators collaboration on the article Hoxne Hoard in June 2010.  The Wikipedia Signpost is the community newspaper on the English Wikipedia&#44;[136] and was founded by Michael Snow&#44; an administrator and the former chair of the Wikimedia Foundation board of trustees.[137] It covers news and events from the site&#44; as well as major events from sister projects&#44; such as Wikimedia Commons,1662
1149_14 ,A15YKQU4TT7169 ,In the 1960s&#44; Massachusetts Institute of Technology&#44; AT&amp;T Bell Labs&#44; and General Electric developed an experimental operating system called Multics for the GE-645 mainframe.[2] Multics was highly innovative&#44; but had many problems.  Bell Labs&#44; frustrated by the size and complexity of Multics but not the aims&#44; slowly pulled out of the project. Their last researchers to leave Multics&#44; Ken Thompson&#44; Dennis Ritchie&#44; M. D. McIlroy&#44; and J. F. Ossanna&#44;[3] decided to redo the work on a much smaller scale. At the time&#44; Ritchie says &quot;What we wanted to preserve was not just a good environment in which to do programming&#44; but a system around which a fellowship could form. We knew from experience that the essence of communal computing&#44; as supplied by remote-access&#44; time-shared machines&#44; is not just to type programs into a terminal instead of a keypunch&#44; but to encourage close communication.&quot;[3]  While Ken Thompson still had access to the Multics environment&#44; he wrote simulations for the new file and paging system on it. He also programmed a game called Space Travel&#44; but the game needed a more efficient and less expensive machine to run on&#44; and eventually a little-used PDP-7 at Bell Labs fit the bill.[4] On this PDP7&#44; a team of Bell Labs researchers led by Thompson and Ritchie&#44; including Rudd Canaday&#44; developed a hierarchical file system&#44; the notions of computer processes and device files&#44; a command-line interpreter&#44; and some small utility programs,1574
1149_209 ,A15YKQU4TT7169 ,Magstripes following these specifications can typically be read by most point-of-sale hardware&#44; which are simply general-purpose computers that can be programmed to perform specific tasks. Examples of cards adhering to these standards include ATM cards&#44; bank cards (credit and debit cards including VISA and MasterCard)&#44; gift cards&#44; loyalty cards&#44; driver&#39;s licenses&#44; telephone cards&#44; membership cards&#44; electronic benefit transfer cards (e.g. food stamps)&#44; and nearly any application in which value or secure information is not stored on the card itself. Many video game and amusement centers now use debit card systems based on magnetic stripe cards.  Magnetic stripe cloning can be detected by the implementation of magnetic card reader heads and firmware that can read a signature embedded in all magnetic stripes during the card production process. This signature known as a MagnePrint or BluPrint can be used in conjunction with common two factor authentication schemes utilized in ATM&#44; debit/retail point-of-sale and prepaid card applications.[2][3]  Counterexamples of cards which intentionally ignore ISO standards include hotel key cards&#44; most subway and bus cards&#44; and some national prepaid calling cards (such as for the country of Cyprus) in which the balance is stored and maintained directly on the stripe and not retrieved from a remote database.,1412
63528_47 ,AMKGJUEEY6ZCH ,machine&#44; magazine&#44; magistrate&#44; midterm&#44; mail&#44; main&#44; member&#44; major&#44; makeup&#44; manager&#44; mandate&#44; mini fold paper&#44; manners&#44; mature&#44; medical college&#44; mechanic&#44; medium&#44; m.l.a&#44; tomato&#44; mental&#44; merit&#44; manage&#44;metal&#44; metric&#44; mile&#44; military&#44; mill&#44; mineral&#44; minister&#44; minor&#44; minority&#44; mint&#44; minus&#44; missionary&#44; mini toss&#44; missile&#44; mixture&#44; mobile&#44; model&#44; money order&#44; monthly&#44; municipality&#44; mummy&#44; meter&#44; same plate&#44; narrow gaze&#44; n.c.c.navy&#44; negative&#44; net cash&#44; network&#44; newsreel&#44; night fit&#44; no vacancy&#44; nomination&#44; non teaching staff&#44; normal&#44; notary&#44; note&#44; notice&#44; naval&#44; nuisance&#44; number&#44; nurse&#44; offer&#44; officer&#44; office&#44; oil paints&#44; Olympics&#44; on duty&#44; open air theater&#44; operator&#44; operation&#44; opposition&#44; option&#44; order&#44; ordinary&#44; organization&#44; out door shooting&#44; original&#44; opt patient (o.p)&#44; over bridge&#44; over draft&#44; over hall&#44; over time&#44; owner&#44; over head tank&#44; packet&#44; page&#44; painter&#44; paper&#44; parcel&#44; partner&#44; parents&#44; prestige&#44; parliament&#44; petrol&#44; party&#44; part time&#44; pass&#44; passbook&#44; passenger&#44; passport&#44;,1395
1149_164 ,A15YKQU4TT7169 ,prior releases of Windows supported per-file encryption using Encrypting File System&#44; the Enterprise and Ultimate editions of Vista include BitLocker Drive Encryption which can protect entire volumes&#44; notably the operating system volume. However&#44; BitLocker requires approximately a 1.5-gigabyte partition to be permanently unencrypted and to contain system files in order for Windows to boot. In normal circumstances&#44; the only time this partition is accessed is when the computer is booting&#44; or when there is a Windows update that changes files in this area which is a legitimate reason to access this section of the drive. The area can be a potential security issue&#44; because a hexadecimal editor (such as dskprobe.exe)&#44; or malicious software running with administrator and/or kernel level privileges would be able to write to this &quot;Ghost Partition&quot; and allow a piece of malicious software to compromise the system&#44; or disable the encryption. BitLocker can work in conjunction with a Trusted Platform Module (TPM) cryptoprocessor (version 1.2) embedded in a computer&#39;s motherboard&#44; or with a USB key.[38] However&#44; as with other full disk encryption technologies&#44; BitLocker is vulnerable to a cold boot attack&#44; especially where TPM is used as a key protector without a boot PIN being required too,1357
8066_129 ,AL9K2BNO4E0F4 ,In 2008 Presidential election&#44; political candidates are using the You Tube for the campaign.  The voters can watch the thought patterns of the candidates.  The presidential candidates were for example Ron Paul&#44; Hillery Clinton&#44; and Joe Biden.  Videos can be made for the ruling party or the opposition party.  Presidential candidates from the third group also used the publicity of You Tube.  Libertarian Steve Kubby&#39;s campaign debuted a short animated film&#44; featuring the faces and voices of campaign contributors who financed its production&#44; on YouTube on September 29th&#44; 2007.  U.S. media have often commented that YouTube played a significant role in the defeat of the Republican Senator George Allen in 2006&#44; because the videoclip of alleged racial comments was shown to the YouTube viewers during the campaign.  A political commentator like James Kotecki is also in the YouTube&#39;s political arena.  Many commentators make videos for the Presidential candidates on the YouTube or use the YouTube for airing their views.  Currently&#44; political leaders of France and Italy&#44; like Antonio Di Pietro also are making the site a part of their campaigns.  For gettin a lead in the Federal elections of 2007&#44; the ex-Prime Minister of Australia John Howard&#44; used the YouTube also.,1325
